pattern,replacement
ALMOND DARK CHOCOLATE NONNI S,ALMOND DARK CHOCOLATE NONNI S
BEVIVA PURPO ALL IN ONE CEREAL CUP I OZ EACH I PACK,Beviva Purpo
BEVIVA PURPO GRANOLA OZ,Beviva Purpo
BEVIVA PURPO GRANOLA OZ POUCH,Beviva Purpo
BEVIVA SWEET POTATO CEREAL,Beviva Purpo
BEVIVA SWEET POTATO CHIPS OZ,Beviva Purpo
BLACK COFFEE,Black Coffee
BOHANA WILD WHITE CHEDDAR I OZ PACK,Bohana Wild White Cheddar
BURGER,other
CALBEE HARVEST SNAPS GREEN PEA SNACK CRISPS OZ BAG,Snapeas
CHEESE SANDWICH ON SOURDOUGH,other
CHERRIES,other
CHOCOLATE CHIP,Clif Bar Chocolate
CLASSIC WINGSTOP,other
clif(\s)*bar(\s*\w*),Clif Bar Chocolate
CLIC BAR,Clif Bar Chocolate
CLIF BAR CHOCOLATE CHIP,Clif Bar Chocolate
CLIF BAR CHOCOLATE CHIP OZ BAR,Clif Bar Chocolate
CLIF CHOCOLATE CHIP,Clif Bar Chocolate
CLIFF,Clif Bar Chocolate
CLIFF BAR MINI MINT CHOCO,Clif Bar Chocolate
COCA COLA ORIGINAL TASTE,SUGAR
COFFEE WITH MILK,other
DARK CHOCOLATE ZERO SUGAR BAR,The Good Chocolate
DBDBDBDN,other
DUCK OMELETTE BELL PEPPER,other
DUPIXENT,other
EDISON MOOD TEST,other
ENERGY BAR,Clif Bar Chocolate
ENERGY DRINK,other
FHFHHH,other
G HONEY,Honey
GATORADE,SUGAR
GLUCOSE POWDER,SUGAR
go macro(\s*\w*),Go Macro
GO MACRO PEANUT BUTTER BAR O Z BAR,Go Macro
GOLDEN GOODNESS SPROUTED ALMONDS OZ PACK,Golden Sprouted Almonds
"GOMACRO, MACROBAR PROTEIN REPLENISHMENT, PEANUT BUTTER",Go Macro
GRANNY SMITH APPLE,other
GRASS JELLY DRINK WITH HONEY,other
HARVEST SNAPS SNAPEA CRISPS,Snapeas
HONEY,Honey
HONEY STICKS G STICKS,Honey
"HOOD, ULTRA PASTEURIZED LIGHT CREAM",other
HU SIMPLE CHOCOLATE BAR OZ BAR,Hu Simple Chocolate
"HU, SIMPLE CHOCOLATE BAR",Hu Simple Chocolate
ITALIAN SPARKLING LEMON BEVERAGE FROM CONCENTRATE,other
JUICE SMOOTHIE,SUGAR
KELLOGG S RICE KRISPIES CEREAL OZ,Kelloggs Rice Krispies
KELLOGGS RICE KRISPIES BREAKFAST CEREAL IN A CUP OZ CUP,Kelloggs Rice Krispies
KETO PANCAKE MIX,KETO PANCAKE MIX
KIND BAR DARK CHOCOLATE NUTS,Kind Bar Dark Chocolate
"KIND, NUTS SPICES BAR, DARK CHOCOLATE NUTS SEA SALT",Kind Bar Dark Chocolate
LIGHTLY SALTED SNAPEA CRISPS,Snapeas
(\w*\s*)snapea(\s*\w*),Snapeas
"MANGO ORANGE SPARKLING KOMBUCHA, MANGO ORANGE",other
"MARGHERITA PIZZA, MARGHERITA",other
MASHED POTATOES SAUSAGE,other
MEXICAN SALAD,other
MILK CHOCOLATE DELIGHT PROTEIN RICH SHAKE,other
moon(\s)+cheese(\s*\w*),Moon Cheese
munk pack(\s*\w*),Munk Pack
MUNK PACK SEA SALT DARK CHOCOLATE KETO NUT,Munk Pack
NOODLE SOUP,other
NORMAL BREAKFAST,other
OATMEAL,other
"PLANT BUTTER WITH OLIVE OIL PLANT BASED OIL SPREAD, PLANT BUTTER",other
real food bar(\s*\w*),Real Food Bar
REAL MANGO,other
RICE KRISPIES,Kelloggs Rice Krispies
SALAD FROM LOCAL KITCHEN,other
SAVORY BREAKFAST,other
SMALL BREAKFAST WITH COFEE,other
SMOOTHIE,other
SPOONS OF WHITE SUGAR,SUGAR
SPRING ROLL,other
SPROUTED WHOLE GRAIN BREAD,other
STARBUCKS,other
SUGAR,SUGAR
SYMMETREE BAR CHOCOLATE CHIP COOKIE DOUGH OZ BAR,Symmetree Bar
SYMMETRY BAR,Symmetree Bar
T SUGAR,SUGAR
THAI GLASS NOODLE SALAD,other
THE GOOD CHOCOLATE HIMALAYAN SALT ZERO SUGAR SQUARE OZ CT,The Good Chocolate
THE GOOD CHOCOLATE SIGNATURE DARK ZERO SUGAR OZ BAR,The Good Chocolate
TOAST WITH PATE,other
TWO BOILED EGGS,other
UPLIFT FOOD GUT HAPPY COOKIES SALTED ALMOND BUTTER WITH VANILLA OZ CT,UpLift
WHITE PEACH,other
WHITE SUGAR TOLERANCE TEST,SUGAR
CREAM OF WHEAT,Cream of Wheat
GOODIDEA,Good Idea
POP-TARTS,Pop-Tarts