id,experiment_id,experiment_name,experiment_image_url
1,1,Beviva Purpo,https://ucarecdn.com/0738d602-2f9d-44fb-8efb-6e891e1c518c/-/format/auto/-/preview/3000x3000/-/quality/lighter/
2,2,Black Coffee,
3,3,Clif Bar Chocolate,https://i5.walmartimages.com/asr/1d408e3e-b953-4b01-9a86-863a59774d83_1.7e7c8e6f5c93277fa21518a2387c3958.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF
4,4,Cream of Wheat,https://i5.walmartimages.com/asr/40152f8d-121a-4365-b21d-e9922379340e.ad529939412043724f7c70788583bd44.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF
5,5,Go Macro,https://www.gomacro.com/prodgomacro/media/products/2021/06/01/GM_MacroBars_PCP_CAB-list_display.jpg
6,6,Golden Sprouted Almonds,
7,7,Good Idea,https://cdn.shopify.com/s/files/1/1455/0120/files/3_1024x1024.png?v=1633426414
8,8,Honey,
9,9,Hu Simple Chocolate,https://storage.googleapis.com/tastermonial-food-images/71939
10,10,Kelloggs Rice Krispies,https://images.kglobalservices.com/www.ricekrispies.com/en_us/product/product_4508660/kicproductimage-127505_kicproductimage-127505.png
11,11,Kind Bar Dark Chocolate,https://storage.googleapis.com/tastermonial-food-images/56250
12,12,Moon Cheese,https://cdn.shopify.com/s/files/1/0267/5752/9679/products/MoonCheese_2oz_Cheddar_NewCheesierFlavor_Front_1000x1000.png?v=1624988128
13,13,Munk Pack,https://cdn.shopify.com/s/files/1/1092/3438/products/sea-salt-dark-chocolate-keto-nut-seed-bar-12-pack-nut-seed-bar-munk-pack-719770-sw_grande.png?v=1634573655
14,14,other,
15,15,Pop-Tarts,https://images.kglobalservices.com/www.poptarts.com/en_us/product/product_4508821/prod_img-8314259_prod_img-8314259.png
16,16,Real Food Bar,https://cdn11.bigcommerce.com/s-lqr03nfajt/images/stencil/500x500/products/112/460/chocolate-sea-salt-12-bar-pack-25.44-oz__04351.1627677808.jpg?c=1
17,17,Snapeas,https://harvestsnaps.com/wp-content/uploads/harvest-snaps-lightly-salted.jpg
18,18,SUGAR,
19,19,Symmetree Bar,https://cdn.shopify.com/s/files/1/2426/6107/files/pecan_trans-3.png?v=1593103070
20,20,The Good Chocolate,https://cdn.shopify.com/s/files/1/2426/6107/files/pecan_trans-3.png?v=1593103070
21,21,UpLift,https://cdn.shopify.com/s/files/1/0015/2312/2211/products/uplift-puffs-sweet-spicy_3.7oz_4_720x.jpg?v=1635804608